Hour Resolved,Priority,Assignment group,Weightage,Highest Assignment group,Support Level(IE?),Automation Pickup Time (Min),Technician Pickup Time (Min),IE Escalation Time (Hrs),Business Resolution Time (Hrs),Automation Pickup Time Range,Automation Pickup in < 5 Min?,IE Catgory,technician Pickup in < 15 Min?,Week Resolved,Week Escala0d,Resolved < 60 Min?,Knowledge Article Used?,Reopened?,KB Article Used?,05 min or less?,Cluster,Initial Priority,MTTR SLA Met?,MTTA SLA Met?,Reassignment count,Reassign > 5?,Reopen count
19,3,1,20,2,1,4,4,0.048611111,16,1,1,0,1,31,30,0,0,0,1,0,2,3,1,1,5,0,0
19,3,1,20,2,1,5,5672,0.113055556,16,2,0,0,0,31,30,0,0,0,1,1,2,3,1,1,4,0,0
19,3,1,20,2,1,3,5670,0.083611111,16,1,1,0,0,31,30,0,0,0,1,0,2,3,1,1,4,0,0
23,3,1,20,2,1,5,4,0.063055556,32.8725,2,0,0,1,31,30,0,0,0,1,1,2,3,1,1,5,0,0
11,3,2,30,2,0,5,25,5.382222222,8,2,0,0,0,31,31,0,1,0,1,1,2,3,1,1,3,0,0
4,3,1,20,2,1,6,4,0.066388889,4.785277778,2,0,0,1,31,31,0,1,0,1,1,2,3,1,1,3,0,0
11,3,1,20,2,1,5,3,0.074166667,6.5725,2,0,0,1,31,31,0,1,0,1,1,2,3,1,1,3,0,0
16,3,2,30,2,0,1,37,0.622777778,6.95,1,1,0,0,33,33,0,0,0,0,1,2,3,1,1,3,0,0
21,3,2,30,2,0,40,189,80.73638889,16,3,0,0,0,34,34,0,1,0,1,1,2,3,1,1,3,0,0
13,3,2,30,2,0,7,2,27.64861111,48,2,0,0,1,30,29,0,1,0,1,1,2,1,1,1,4,0,0
9,2,2,30,2,0,3,16,0.425833333,0,1,1,0,0,31,31,0,1,0,1,1,2,1,1,1,3,0,0
12,2,2,30,2,0,4,11,8.257222222,2.572777778,1,1,0,1,31,31,0,1,0,1,1,2,2,1,1,3,0,0
11,2,2,30,2,0,5,45,1.345277778,8,2,0,0,0,31,31,0,1,0,1,1,2,1,1,1,3,0,0
14,2,2,30,2,0,3,3,1.222222222,8,1,1,0,1,32,31,0,1,0,1,1,2,1,1,1,3,0,0
1,2,2,30,2,0,1,78,1.339444444,8.980833333,1,1,0,0,32,32,0,1,0,1,1,2,2,1,1,3,0,0
13,3,2,30,2,0,1,55,2.957777778,0,1,1,0,0,32,32,0,0,1,1,1,2,2,1,1,5,0,1
11,4,2,30,2,0,1,57,1.031388889,8,1,1,0,0,33,32,0,0,0,0,1,2,4,1,1,3,0,0
18,3,2,30,2,0,1,194,32.35194444,16,1,1,0,0,33,32,0,1,0,1,1,2,3,1,1,3,0,0
14,2,2,30,2,0,1,11,17.1775,8,1,1,0,1,33,32,0,1,0,1,1,2,1,1,1,3,0,0
11,2,2,30,2,0,1,37,50.12027778,8,1,1,0,0,33,33,0,0,0,1,1,2,2,1,1,3,0,0
14,2,2,30,2,0,1,44,16.34,8,1,1,0,0,33,33,0,1,0,1,0,2,1,1,1,3,0,0
12,3,2,30,2,0,1,14,40.24416667,16,1,1,0,1,33,33,0,1,0,1,1,2,3,1,1,3,0,0
13,2,2,30,2,0,556,4,17.60611111,0,3,0,0,1,34,33,0,0,0,1,1,2,2,1,1,3,0,0
12,4,5,30,5,0,4,11,26.01138889,40,1,1,0,1,28,27,0,1,0,1,0,2,1,1,1,3,0,0
14,1,5,30,5,0,4,2,0.620555556,0,1,1,0,1,28,28,1,1,0,0,0,2,1,1,1,3,0,0
14,2,2,30,2,0,3,20,46.49305556,8,1,1,0,0,31,31,0,1,0,1,1,2,2,1,1,3,0,0
17,2,2,30,2,0,4,18,11.46305556,0,1,1,0,0,32,32,0,1,0,1,1,2,1,1,1,3,0,0
12,2,2,30,2,0,1,19,3.350277778,0,1,1,0,0,33,33,0,1,0,1,1,2,1,1,1,3,0,0
11,2,2,30,2,0,1,61,1.878611111,0,1,1,0,0,33,33,0,1,0,1,1,2,1,1,1,3,0,0
11,3,5,30,5,0,4,6,0.099722222,0,1,1,0,1,33,33,0,0,1,0,0,2,3,1,1,5,0,1
14,2,2,30,2,0,5,27,21.5525,8,1,1,0,0,29,29,0,1,0,1,1,2,2,1,1,3,0,0
9,3,5,30,5,0,1,23,2.908611111,7.551111111,1,1,0,0,33,33,0,1,0,1,0,2,3,1,1,3,0,0
23,2,5,30,5,0,1,33,0.548333333,1.156666667,1,1,0,0,33,33,0,0,1,0,1,2,2,1,1,3,0,1
13,3,5,30,5,0,11,120,0.2625,0.074722222,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,15,1,5
6,2,5,30,5,0,6,20,0.0325,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,4,0,1
6,2,5,30,5,0,8,19,0.026388889,0,2,0,0,0,27,27,1,0,0,0,0,2,2,1,1,6,1,0
6,2,5,30,5,0,10,19,0.066666667,0,2,0,0,0,27,27,1,0,0,0,0,2,2,1,1,4,0,0
6,2,5,30,5,0,10,19,0.062222222,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,3,0,1
11,2,5,30,5,0,1,125,0.360555556,0.165833333,1,1,0,0,33,33,0,0,1,0,0,2,2,1,1,11,1,2
6,2,5,30,5,0,8,20,0.033888889,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,7,1,1
6,2,5,30,5,0,8,19,0.027222222,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,8,1,1
6,2,5,30,5,0,10,19,0.062777778,0,2,0,0,0,27,27,1,0,0,0,0,2,2,1,1,9,1,0
6,2,5,30,5,0,10,18,0.0525,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,7,1,2
6,2,5,30,5,0,9,18,0.047777778,0,2,0,0,0,27,27,1,0,0,0,0,2,2,1,1,9,1,0
6,2,5,30,5,0,9,18,0.048888889,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,10,1,1
6,2,5,30,5,0,10,18,0.053611111,0,2,0,0,0,27,27,1,0,0,0,0,2,2,1,1,10,1,0
6,2,5,30,5,0,12,18,0.0475,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,10,1,2
6,2,5,30,5,0,12,18,0.048611111,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,7,1,1
6,2,5,30,5,0,12,18,0.045277778,0,2,0,0,0,27,27,1,0,1,0,0,2,2,1,1,7,1,1
11,4,5,30,5,0,5,61,26.23888889,40,1,1,0,0,28,27,0,1,0,1,0,2,2,1,1,5,0,0
0,4,5,30,5,0,1,42,0.699166667,1.219722222,1,1,0,0,33,33,0,0,0,0,0,2,4,1,1,3,0,0
0,2,5,30,5,0,1,1,0.015,1.0125,1,1,0,1,33,33,0,0,0,0,0,2,2,1,1,4,0,0
0,2,5,30,5,0,1,47,0.780277778,1.003611111,1,1,0,0,33,33,0,0,0,0,0,2,2,1,1,3,0,0
0,2,5,30,5,0,1,40,0.661111111,0.732222222,1,1,0,0,33,33,1,0,0,0,0,2,2,1,1,3,0,0
14,3,5,30,5,0,2,363,1.250277778,0.891944444,1,1,0,0,33,33,0,0,1,0,0,2,3,1,1,13,1,2
11,3,5,30,5,0,2,104,0.96,0.776944444,1,1,0,0,33,33,0,0,1,0,0,2,3,1,1,8,1,2
11,3,5,30,5,0,2,219,0.960555556,0.768055556,1,1,0,0,33,33,0,0,1,0,0,2,3,1,1,9,1,2
13,3,5,30,5,0,2,103,0.938055556,0.749166667,1,1,0,0,33,33,0,0,1,0,0,2,3,1,1,13,1,4
11,3,5,30,5,0,2,156,0.868611111,0.693055556,1,1,0,0,33,33,0,0,1,0,0,2,3,1,1,8,1,2
11,3,5,30,5,0,4,155,0.845555556,0.663611111,1,1,0,0,33,33,0,0,1,0,0,2,3,1,1,9,1,2
11,3,5,30,5,0,13,212,0.171111111,0.659722222,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,12,1,2
11,3,5,30,5,0,6,97,0.831944444,0.656388889,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,11,1,2
13,3,5,30,5,0,6,154,0.833611111,0.656388889,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,17,1,4
13,3,5,30,5,0,14,451,0.163055556,0.653055556,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,16,1,4
13,3,6,10,5,1,10,97,0.155,0.650277778,2,0,0,0,33,33,0,1,1,1,1,2,3,1,1,24,1,4
11,3,5,30,5,0,5,153,0.813888889,0.639722222,1,1,0,0,33,33,0,0,1,0,0,2,3,1,1,14,1,2
10,3,5,30,5,0,12,211,0.143333333,0.634166667,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,13,1,2
13,3,5,30,5,0,12,153,0.138611111,0.631388889,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,21,1,4
11,3,5,30,5,0,12,153,0.136666667,0.625833333,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,15,1,2
13,3,5,30,5,0,8,95,0.126944444,0.618611111,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,22,1,5
11,3,5,30,5,0,12,152,0.124444444,0.618055556,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,8,1,2
13,3,5,30,5,0,12,95,0.123055556,0.615277778,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,19,1,5
13,3,5,30,5,0,10,208,0.099722222,0.593055556,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,14,1,3
11,3,5,30,5,0,9,149,0.08,0.576944444,2,0,0,0,33,33,0,0,1,0,0,2,3,1,1,12,1,2
